snap(-40,-50,-57)
sky(80,80,80)
fog(240,235,140)
clouds(255,255,255,5,-1000)
ground(70,70,70)
texture(0,0,0,50)
fadefrom(4700)
density(2)
mountains(81799)
nlaps(1)
name(Thunder Run)
lightson()


set(47,0,0,0)
set(30,0,-5091,0)
set(10,0,-5600,0)
set(23,0,-6900,0)
set(10,0,5600,0)p
set(10,0,11200,0)p
set(10,0,16800,180)
set(10,0,16920,180)
set(10,0,22520,180)
set(10,0,28120,0)
set(31,0,22060,0)pr
set(31,0,25670,180)
set(23,0,29750,180)

//

set(24,0,39710,180)
set(33,0,39710,0)pr
set(24,0,39710,0)



//


set(23,0,49085,0)
set(10,0,50520,180)p
set(10,0,56120,180)p
set(38,0,56660,0)
set(38,0,54195,0)
set(12,1520,61750,150)p
set(38,0,58785,0)
chk(40,3040,64580,0)r
set(14,3040,66330,0)pt

//

set(20,7590,66330,90)p
set(44,13190,66330,90)p
set(43,18790,66330,90)p
set(34,15990,66330,90)pr
set(43,24390,66330,90)
set(35,25884,66620,90)
set(35,24272,65944,90)
set(43,29990,66330,90)p
set(44,35590,66330,-90)p
chk(42,38390,66330,90)r
set(17,40140,66330,-90)pt

//

set(15,40140,61780,0)p
set(15,40140,56180,0)
set(35,40140,57000,180)pr
set(16,40140,50580,180)p
set(20,40140,44980,180)p
set(10,40140,39380,180)p
set(13,41660,33750,210)p

//split right


set(27,43180,28600,180)pr
set(10,43180,28120,180)
set(10,43180,22520,180)p
set(10,43180,16920,180)p
set(38,43180,17330,180)
set(38,43180,19830,180)
set(38,43180,22396,180)
set(38,43180,24820,180)
set(12,41660,11290,150)p

//split left

set(12,38620,33750,150)
set(27,37100,28600,180)
set(10,37100,28120,180)
set(10,37100,22520,180)
set(10,37100,16920,180)
set(38,37100,22396,180)
set(38,37100,24820,180)
set(38,37100,17330,180)
set(38,37100,19830,180)
set(13,38620,11290,210)

//

set(10,40140,5660,180)p
set(10,40140,60,180)p
chk(40,40140,-2384,0)r
set(14,40140,-4490,180)pt

//

set(10,35590,-4490,-90)p

set(23,23339,-4490,-90)p
set(22,24573,-4490,-90)
set(22,23899,-4490,90)
set(23,25133,-4490,90)

set(32,24772,-4840,90)
set(32,24772,-4490,90)pr
set(32,24772,-4140,90)

set(32,23780,-4840,-90)
set(32,23780,-4490,-90)
set(32,23780,-4140,-90)


//junk

set(13,18700,-2970,-60)
set(10,24330,-1450,-90)
set(36,22510,360,0)
set(36,24319,360,0)
set(36,26090,360,0)
set(12,29960,-2970,-120)

//

set(10,13070,-4490,-90)p
chk(40,10270,-4490,90)r
set(14,8520,-4490,90)pt

//

set(10,8520,60,180)po
set(20,8520,5660,180)p
set(15,8520,11260,180)p
set(15,8520,16860,180)

//

set(34,8520,16384,180)pr
fix(41,8520,22555,-2000,0)
set(16,8520,22460,180)
set(15,8520,28060,180)
set(34,8520,27735,180)pl

//

set(15,8520,33660,180)p
set(15,8520,39260,180)p
set(33,8520,36460,0)pr
set(15,8520,44860,180)
set(15,8520,50460,180)p
chk(42,8520,53260,0)r
set(17,8520,55010,0)pt

//

set(15,13070,55010,90)p
set(20,18670,55010,-90)p
set(10,24270,55010,-90)p
set(10,27008,55010,90)p
chk(40,29808,55010,90)r
set(14,31558,55010,-90)pt
set(12,30038,50430,-30)p

set(22,28518,47040,0)p
set(18,28518,43680,180)
set(18,28518,40320,180)
set(18,28518,34720,180)


set(36,30328,43040,-90)
set(36,30328,41120,-90)ph
set(36,30328,39200,-90)
set(36,30328,37280,-90)
set(36,30328,35360,-90)


set(22,28518,31360,180)p



set(13,30038,27970,30)p
set(10,31558,22340,0)p
set(10,31558,16740,180)
set(28,31558,21440,180)
set(10,31558,11140,180)p
chk(40,31558,8340,0)r
set(14,31558,6590,180)pt

//

set(10,27008,6590,-90)p
set(10,21408,6590,-90)p
set(10,18326,6590,90)p

set(38,23033,6590,90)
set(38,25188,6590,90)
set(38,18108,6590,90)
set(38,20626,6590,90)

chk(40,15526,6590,90)r
set(14,13776,6590,90)pt

//

set(10,13776,11140,180)p
set(10,13776,16740,180)p
set(26,13776,16724,0)pr

set(37,13685,20819,0)
set(37,13622,19226,0)
set(37,13958,20084,0)
set(37,13580,22218,0)
set(37,13958,21546,0)

set(10,13776,22340,180)p
set(23,13776,24023,180)p


set(23,13776,36340,0)p
set(12,15296,39170,150)p
set(10,16816,44800,180)p
set(38,16816,42060,180)
chk(40,16816,47600,0)r
set(14,16816,49350,0)pt

//

set(22,19126,49350,90)p
set(14,21436,49350,-90)pt

//

set(20,21436,44800,0)p
set(15,21436,39200,0)p
set(15,21436,33600,0)p
set(16,21436,28000,180)p
set(50,21436,34298,180)pr
set(15,21436,22400,0)
set(33,21436,21264,0)pr
set(15,21436,16800,0)p
chk(42,21436,14000,0)r
set(24,21436,14000,180)p



maxl(17,-5055,-8062)
maxb(11,-10462,-2655)
maxr(17,47745,-8062)
maxt(11,71138,-2655)
