snap(-42,-74,-60)
sky(229,191,255)
fog(242,213,182)
clouds(255,255,255,5,-1000)
ground(90,80,100)
texture(0,0,0,50)
fadefrom(6000)
density(6)
mountains(35000)
nlaps(3)
lightson()

name(Twilight Skies)



set(47,0,0,0)p
set(10,0,5600,0)
set(32,0,5533,0)pr
set(32,-350,5533,0)
set(32,350,5533,0)
set(10,0,11200,0)p
set(20,0,16800,180)p
chk(42,0,19600,0)
set(17,0,21350,-90)pt


set(15,-4550,21350,90)p
set(15,-10150,21350,90)p
set(35,-11036,21350,90)pr
set(16,-15750,21350,90)p
set(15,-21350,21350,90)p
set(15,-26950,21350,90)p
chk(42,-29750,21350,90)
set(17,-31500,21350,0)pt

set(15,-31500,16800,0)p
set(20,-31500,11200,180)p
chk(40,-31500,8400,0)
set(14,-31500,6650,90)pt


set(22,-29190,6650,90)p
set(18,-25830,6650,-90)p
set(36,-26520,4840,180)ph
set(36,-24560,4840,180)
set(36,-22600,4840,180)
set(18,-20230,6650,-90)p
set(18,-16870,6650,-90)p
set(22,-13510,6650,-90)p
chk(40,-12844,6650,90)
set(14,-11200,6650,180)pt


set(10,-11200,11200,180)p
set(10,-11200,13004,180)
set(26,-11200,16404,0)pr
set(23,-11200,15804,180)


set(23,-11200,26598,0)
set(30,-11200,26880,180)pl
set(10,-11200,28000,180)p
set(10,-11200,33600,180)p
chk(40,-11200,36400,0)
set(14,-11200,38150,0)pt


set(10,-6650,38150,90)p
set(10,-1050,38150,90)p
set(14,3500,38150,-90)pt


chk(40,3500,36400,0)
set(10,3500,33600,0)p

//split
set(13,5020,27970,30)
set(10,6540,22340,180)
set(12,5020,16830,150)
set(36,8350,22295,-90)
set(36,8350,24220,-90)
set(36,8350,20580,-90)
//

set(33,3500,22776,180)pr
set(24,3500,22776,0)
set(24,3500,22776,180)


chk(40,3500,14000,0)
set(14,3500,12250,90)pt

set(10,8050,12250,90)p
set(10,13650,12250,90)p
set(28,13014,12250,-90)pr
set(20,19250,12250,90)p
set(16,24850,12250,-90)p
set(15,30450,12250,90)p
chk(42,33250,12250,90)
set(17,35000,12250,180)pt



set(44,35000,16800,180)p
set(44,35000,22400,0)p
chk(42,35000,25200,0)
set(17,35000,26950,-90)pt



set(15,30450,26950,-90)p
set(15,24850,26950,-90)p
set(15,19250,26950,-90)p
chk(42,16450,26950,90)
set(17,14700,26950,0)pt

set(15,14700,22400,0)p
set(15,14700,20475,180)
set(34,14700,18936,180)pr
set(24,14700,17675,180)


set(24,14700,7718,0)p
set(16,14700,4918,0)p
set(15,14700,0,0)p
chk(42,14700,-2800,0)
set(17,14700,-4550,180)pt

set(20,10150,-4550,90)p
set(10,4550,-4550,90)p





set(24,-7059,-645,-90)po
fix(41,-17871,-645,-1800,90)
set(15,-15459,-645,-90)
set(15,-21059,-645,-90)
set(24,-29459,-645,90)
set(16,-26659,-645,90)
set(34,-21825,-645,90)pr
set(16,-9859,-645,90)
set(34,-14283,-645,90)
set(24,7468,224,180)
set(15,7468,3024,180)
set(24,7468,5824,0)
set(34,7468,2962,0)
set(24,-4612,32447,0)
set(15,-4612,29647,0)
set(24,-4612,26847,180)
set(34,-4612,29765,180)

set(14,0,-4550,90)pt

maxl(11,-36573,-7259)
maxb(16,-9659,-34173)
maxr(11,40226,-7259)
maxt(16,43140,-34173)
